Эпизод: 85/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 86/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 87/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 88/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 89/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 90/1000 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 91/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 92/1000 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 93/1000 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 94/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 95/1000 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 96/1000 | Награда (Очки): 23.0 | Epsilon: 0.01
Эпизод: 97/1000 | Награда (Очки): 26.0 | Epsilon: 0.01
Эпизод: 98/1000 | Награда (Очки): 141.0 | Epsilon: 0.01
Эпизод: 99/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 100/1000 | Награда (Очки): 86.0 | Epsilon: 0.01
Эпизод: 101/1000 | Награда (Очки): 88.0 | Epsilon: 0.01
Эпизод: 102/1000 | Награда (Очки): 34.0 | Epsilon: 0.01
Эпизод: 103/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 104/1000 | Награда (Очки): 53.0 | Epsilon: 0.01
Эпизод: 105/1000 | Награда (Очки): 82.0 | Epsilon: 0.01
Эпизод: 106/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 107/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 108/1000 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 109/1000 | Награда (Очки): 131.0 | Epsilon: 0.01
Эпизод: 110/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 111/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 112/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 113/1000 | Награда (Очки): 40.0 | Epsilon: 0.01
Эпизод: 114/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 115/1000 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 116/1000 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 117/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 118/1000 | Награда (Очки): 74.0 | Epsilon: 0.01
Эпизод: 119/1000 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 120/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 121/1000 | Награда (Очки): 52.0 | Epsilon: 0.01
Эпизод: 122/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 123/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 124/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 125/1000 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 126/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 127/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 128/1000 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 129/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 130/1000 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 131/1000 | Награда (Очки): 50.0 | Epsilon: 0.01
Эпизод: 132/1000 | Награда (Очки): 50.0 | Epsilon: 0.01
Эпизод: 133/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 134/1000 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 135/1000 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 136/1000 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 137/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 138/1000 | Награда (Очки): 76.0 | Epsilon: 0.01
Эпизод: 139/1000 | Награда (Очки): 108.0 | Epsilon: 0.01
Эпизод: 140/1000 | Награда (Очки): 34.0 | Epsilon: 0.01
Эпизод: 141/1000 | Награда (Очки): 56.0 | Epsilon: 0.01
Эпизод: 142/1000 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 143/1000 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 144/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 145/1000 | Награда (Очки): 79.0 | Epsilon: 0.01
Эпизод: 146/1000 | Награда (Очки): 157.0 | Epsilon: 0.01
Эпизод: 147/1000 | Награда (Очки): 117.0 | Epsilon: 0.01
Эпизод: 148/1000 | Награда (Очки): 68.0 | Epsilon: 0.01
Эпизод: 149/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 150/1000 | Награда (Очки): 114.0 | Epsilon: 0.01
Эпизод: 151/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 152/1000 | Награда (Очки): 114.0 | Epsilon: 0.01
Эпизод: 153/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 154/1000 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 155/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 156/1000 | Награда (Очки): 52.0 | Epsilon: 0.01
Эпизод: 157/1000 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 158/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 159/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 160/1000 | Награда (Очки): 88.0 | Epsilon: 0.01
Эпизод: 161/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 162/1000 | Награда (Очки): 51.0 | Epsilon: 0.01
Эпизод: 163/1000 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 164/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 165/1000 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 166/1000 | Награда (Очки): 46.0 | Epsilon: 0.01
Эпизод: 167/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 168/1000 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 169/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 170/1000 | Награда (Очки): 41.0 | Epsilon: 0.01
Эпизод: 171/1000 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 172/1000 | Награда (Очки): 89.0 | Epsilon: 0.01
Эпизод: 173/1000 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 174/1000 | Награда (Очки): 68.0 | Epsilon: 0.01
Эпизод: 175/1000 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 176/1000 | Награда (Очки): 89.0 | Epsilon: 0.01
Эпизод: 177/1000 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 178/1000 | Награда (Очки): 54.0 | Epsilon: 0.01
Эпизод: 179/1000 | Награда (Очки): 62.0 | Epsilon: 0.01
Эпизод: 180/1000 | Награда (Очки): 44.0 | Epsilon: 0.01
Эпизод: 181/1000 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 182/1000 | Награда (Очки): 37.0 | Epsilon: 0.01
Эпизод: 183/1000 | Награда (Очки): 73.0 | Epsilon: 0.01
Эпизод: 184/1000 | Награда (Очки): 91.0 | Epsilon: 0.01
Эпизод: 185/1000 | Награда (Очки): 49.0 | Epsilon: 0.01
Эпизод: 186/1000 | Награда (Очки): 85.0 | Epsilon: 0.01
Эпизод: 187/1000 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 188/1000 | Награда (Очки): 46.0 | Epsilon: 0.01
Эпизод: 189/1000 | Награда (Очки): 55.0 | Epsilon: 0.01
Эпизод: 190/1000 | Награда (Очки): 38.0 | Epsilon: 0.01
Эпизод: 191/1000 | Награда (Очки): 112.0 | Epsilon: 0.01
Эпизод: 192/1000 | Награда (Очки): 64.0 | Epsilon: 0.01
Эпизод: 193/1000 | Награда (Очки): 67.0 | Epsilon: 0.01
Эпизод: 194/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 195/1000 | Награда (Очки): 30.0 | Epsilon: 0.01
Эпизод: 196/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
Эпизод: 197/1000 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 198/1000 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 199/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 200/1000 | Награда (Очки): 50.0 | Epsilon: 0.01
Эпизод: 201/1000 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 202/1000 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 203/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 204/1000 | Награда (Очки): 42.0 | Epsilon: 0.01
Эпизод: 205/1000 | Награда (Очки): 43.0 | Epsilon: 0.01
Эпизод: 206/1000 | Награда (Очки): 69.0 | Epsilon: 0.01
Эпизод: 207/1000 | Награда (Очки): 47.0 | Epsilon: 0.01
Эпизод: 208/1000 | Награда (Очки): 70.0 | Epsilon: 0.01
Эпизод: 209/1000 | Награда (Очки): 58.0 | Epsilon: 0.01
Эпизод: 210/1000 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 211/1000 | Награда (Очки): 68.0 | Epsilon: 0.01
Эпизод: 212/1000 | Награда (Очки): 63.0 | Epsilon: 0.01
Эпизод: 213/1000 | Награда (Очки): 80.0 | Epsilon: 0.01
Эпизод: 214/1000 | Награда (Очки): 57.0 | Epsilon: 0.01
Эпизод: 215/1000 | Награда (Очки): 64.0 | Epsilon: 0.01
Эпизод: 216/1000 | Награда (Очки): 34.0 | Epsilon: 0.01
Эпизод: 217/1000 | Награда (Очки): 87.0 | Epsilon: 0.01
Эпизод: 218/1000 | Награда (Очки): 48.0 | Epsilon: 0.01
