Эпизод: 87/500 | Награда (Очки): 15.0 | Epsilon: 0.01
Эпизод: 88/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 89/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 90/500 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 91/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 92/500 | Награда (Очки): 12.0 | Epsilon: 0.01
Эпизод: 93/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 94/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 95/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 96/500 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 97/500 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 98/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 99/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 100/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 101/500 | Награда (Очки): 8.0 | Epsilon: 0.01
Эпизод: 102/500 | Награда (Очки): 12.0 | Epsilon: 0.01
Эпизод: 103/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 104/500 | Награда (Очки): 16.0 | Epsilon: 0.01
Эпизод: 105/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 106/500 | Награда (Очки): 16.0 | Epsilon: 0.01
Эпизод: 107/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 108/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 109/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 110/500 | Награда (Очки): 10.0 | Epsilon: 0.01
Эпизод: 111/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 112/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 113/500 | Награда (Очки): 21.0 | Epsilon: 0.01
Эпизод: 114/500 | Награда (Очки): 14.0 | Epsilon: 0.01
Эпизод: 115/500 | Награда (Очки): 14.0 | Epsilon: 0.01
Эпизод: 116/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 117/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 118/500 | Награда (Очки): 9.0 | Epsilon: 0.01
Эпизод: 119/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 120/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 121/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 122/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 123/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 124/500 | Награда (Очки): 17.0 | Epsilon: 0.01
Эпизод: 125/500 | Награда (Очки): 22.0 | Epsilon: 0.01
Эпизод: 126/500 | Награда (Очки): 22.0 | Epsilon: 0.01
Эпизод: 127/500 | Награда (Очки): 21.0 | Epsilon: 0.01
Эпизод: 128/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 129/500 | Награда (Очки): 11.0 | Epsilon: 0.01
Эпизод: 130/500 | Награда (Очки): 13.0 | Epsilon: 0.01
Эпизод: 131/500 | Награда (Очки): 17.0 | Epsilon: 0.01
Эпизод: 132/500 | Награда (Очки): 61.0 | Epsilon: 0.01
Эпизод: 133/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 134/500 | Награда (Очки): 45.0 | Epsilon: 0.01
Эпизод: 135/500 | Награда (Очки): 30.0 | Epsilon: 0.01
Эпизод: 136/500 | Награда (Очки): 30.0 | Epsilon: 0.01
Эпизод: 137/500 | Награда (Очки): 24.0 | Epsilon: 0.01
Эпизод: 138/500 | Награда (Очки): 25.0 | Epsilon: 0.01
Эпизод: 139/500 | Награда (Очки): 25.0 | Epsilon: 0.01
Эпизод: 140/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 141/500 | Награда (Очки): 27.0 | Epsilon: 0.01
Эпизод: 142/500 | Награда (Очки): 17.0 | Epsilon: 0.01
Эпизод: 143/500 | Награда (Очки): 19.0 | Epsilon: 0.01
Эпизод: 144/500 | Награда (Очки): 30.0 | Epsilon: 0.01
Эпизод: 145/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 146/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 147/500 | Награда (Очки): 18.0 | Epsilon: 0.01
Эпизод: 148/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 149/500 | Награда (Очки): 25.0 | Epsilon: 0.01
Эпизод: 150/500 | Награда (Очки): 22.0 | Epsilon: 0.01
Эпизод: 151/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 152/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 153/500 | Награда (Очки): 23.0 | Epsilon: 0.01
Эпизод: 154/500 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 155/500 | Награда (Очки): 27.0 | Epsilon: 0.01
Эпизод: 156/500 | Награда (Очки): 23.0 | Epsilon: 0.01
Эпизод: 157/500 | Награда (Очки): 36.0 | Epsilon: 0.01
Эпизод: 158/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 159/500 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 160/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 161/500 | Награда (Очки): 27.0 | Epsilon: 0.01
Эпизод: 162/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 163/500 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 164/500 | Награда (Очки): 29.0 | Epsilon: 0.01
Эпизод: 165/500 | Награда (Очки): 26.0 | Epsilon: 0.01
Эпизод: 166/500 | Награда (Очки): 19.0 | Epsilon: 0.01
Эпизод: 167/500 | Награда (Очки): 26.0 | Epsilon: 0.01
Эпизод: 168/500 | Награда (Очки): 33.0 | Epsilon: 0.01
Эпизод: 169/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 170/500 | Награда (Очки): 27.0 | Epsilon: 0.01
Эпизод: 171/500 | Награда (Очки): 39.0 | Epsilon: 0.01
Эпизод: 172/500 | Награда (Очки): 34.0 | Epsilon: 0.01
Эпизод: 173/500 | Награда (Очки): 30.0 | Epsilon: 0.01
Эпизод: 174/500 | Награда (Очки): 31.0 | Epsilon: 0.01
Эпизод: 175/500 | Награда (Очки): 32.0 | Epsilon: 0.01
Эпизод: 176/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 177/500 | Награда (Очки): 28.0 | Epsilon: 0.01
Эпизод: 178/500 | Награда (Очки): 26.0 | Epsilon: 0.01
Эпизод: 179/500 | Награда (Очки): 30.0 | Epsilon: 0.01
